size,time,top_individuals,crossover,mutation_rate,board_size
24,0.008948848247528077,3,permutations,0.18,4
24,0.007500498294830322,3,combinations_with_rep,0.18,4
36,0.005156586170196533,3,product,0.19,4
24,0.006661970615386963,3,permutations,0.19,4
24,0.009683020114898681,3,combinations_with_rep,0.19,4
36,0.006187384128570557,3,product,0.2,4
24,0.0064196324348449706,3,permutations,0.2,4
24,0.00852552890777588,3,combinations_with_rep,0.2,4
36,0.00515657901763916,3,product,0.21000000000000002,4
24,0.00695976972579956,3,permutations,0.21000000000000002,4
36,0.0058236360549926754,3,product,0.15000000000000002,4
24,0.007187974452972412,3,permutations,0.15000000000000002,4
24,0.009375617504119874,3,combinations_with_rep,0.15000000000000002,4
36,0.006356353759765625,3,product,0.16,4
24,0.007239973545074463,3,permutations,0.16,4
24,0.010342397689819337,3,combinations_with_rep,0.16,4
36,0.006263384819030762,3,product,0.16999999999999998,4
24,0.008369240760803223,3,permutations,0.16999999999999998,4
24,0.006562936305999756,3,combinations_with_rep,0.16999999999999998,4
36,0.007428548336029053,3,product,0.18,4
24,0.008448123931884766,3,combinations_with_rep,0.21000000000000002,4
36,0.007969281673431396,3,product,0.22000000000000003,4
24,0.0093756103515625,3,permutations,0.22000000000000003,4
24,0.009064772129058839,3,combinations_with_rep,0.22000000000000003,4
36,0.006904668807983398,3,product,0.22999999999999998,4
24,0.00805410861968994,3,permutations,0.22999999999999998,4
24,0.007984871864318848,3,combinations_with_rep,0.22999999999999998,4
36,0.006719191074371338,3,product,0.24,4
24,0.007897331714630126,3,permutations,0.24,4
24,0.007500498294830322,3,combinations_with_rep,0.24,4
24,0.00910510540008545,3,combinations_with_rep,0.11,4
36,0.008438050746917725,3,product,0.12000000000000001,4
24,0.007656762599945069,3,permutations,0.12000000000000001,4
24,0.009689815044403076,3,combinations_with_rep,0.12000000000000001,4
36,0.00909230947494507,3,product,0.13,4
24,0.008451032638549804,3,permutations,0.13,4
24,0.00743168830871582,3,combinations_with_rep,0.13,4
36,0.007656750679016114,3,product,0.14,4
24,0.0066472387313842776,3,permutations,0.14,4
24,0.009929225444793702,3,combinations_with_rep,0.14,4
24,0.013167867660522461,3,permutations,0.08,4
24,0.012032051086425782,3,combinations_with_rep,0.08,4
36,0.011721193790435791,3,product,0.09,4
24,0.01183357000350952,3,permutations,0.09,4
24,0.009391210079193114,3,combinations_with_rep,0.09,4
36,0.01086625576019287,3,product,0.1,4
24,0.009531903266906738,3,permutations,0.1,4
24,0.010554256439208985,3,combinations_with_rep,0.1,4
36,0.00774094820022583,3,product,0.11,4
24,0.00843806505203247,3,permutations,0.11,4
48,0.01343841314315796,4,permutations,0.07,4
40,0.012032041549682617,4,combinations_with_rep,0.07,4
64,0.017532050609588623,4,product,0.08,4
48,0.012045018672943116,4,permutations,0.08,4
40,0.014235186576843261,4,combinations_with_rep,0.08,4
64,0.00890683889389038,4,product,0.09,4
48,0.010085489749908447,4,permutations,0.09,4
40,0.013053996562957764,4,combinations_with_rep,0.09,4
64,0.010627915859222412,4,product,0.1,4
48,0.011339507102966308,4,permutations,0.1,4
36,0.006562962532043457,3,product,0.25,4
24,0.007656748294830322,3,permutations,0.25,4
24,0.010469443798065185,3,combinations_with_rep,0.25,4
64,0.02096977949142456,4,product,0.05,4
48,0.017757830619812013,4,permutations,0.05,4
40,0.019701673984527587,4,combinations_with_rep,0.05,4
64,0.014772663116455078,4,product,0.060000000000000005,4
48,0.01910679817199707,4,permutations,0.060000000000000005,4
40,0.01765742540359497,4,combinations_with_rep,0.060000000000000005,4
64,0.012513134479522705,4,product,0.07,4
48,0.0063352322578430174,4,permutations,0.16999999999999998,4
40,0.00812554121017456,4,combinations_with_rep,0.16999999999999998,4
64,0.007584679126739502,4,product,0.18,4
48,0.008580801486968994,4,permutations,0.18,4
40,0.008338348865509033,4,combinations_with_rep,0.18,4
64,0.006396679878234863,4,product,0.19,4
48,0.006250414848327637,4,permutations,0.19,4
40,0.006959588527679444,4,combinations_with_rep,0.19,4
64,0.006647365093231201,4,product,0.2,4
48,0.006576151847839356,4,permutations,0.2,4
40,0.009063107967376709,4,combinations_with_rep,0.2,4
64,0.0068033766746521,4,product,0.21000000000000002,4
48,0.007031714916229248,4,permutations,0.21000000000000002,4
40,0.009096159934997558,4,combinations_with_rep,0.21000000000000002,4
64,0.006094131469726562,4,product,0.22000000000000003,4
48,0.007656764984130859,4,permutations,0.22000000000000003,4
40,0.006719193458557129,4,combinations_with_rep,0.22000000000000003,4
64,0.00595020055770874,4,product,0.22999999999999998,4
48,0.00664839506149292,4,permutations,0.22999999999999998,4
40,0.0066469526290893555,4,combinations_with_rep,0.22999999999999998,4
64,0.00789783000946045,4,product,0.14,4
48,0.00671919584274292,4,permutations,0.14,4
40,0.009303553104400635,4,combinations_with_rep,0.14,4
64,0.008594319820404053,4,product,0.15000000000000002,4
48,0.00854914665222168,4,permutations,0.15000000000000002,4
40,0.009776356220245362,4,combinations_with_rep,0.15000000000000002,4
64,0.007656760215759277,4,product,0.16,4
48,0.007512800693511963,4,permutations,0.16,4
40,0.00805474042892456,4,combinations_with_rep,0.16,4
64,0.007271988391876221,4,product,0.16999999999999998,4
40,0.01211686134338379,4,combinations_with_rep,0.1,4
64,0.009219372272491455,4,product,0.11,4
48,0.009772324562072754,4,permutations,0.11,4
40,0.011727571487426758,4,combinations_with_rep,0.11,4
64,0.009382500648498535,4,product,0.12000000000000001,4
48,0.010028774738311768,4,permutations,0.12000000000000001,4
40,0.011106791496276856,4,combinations_with_rep,0.12000000000000001,4
64,0.007513723373413086,4,product,0.13,4
48,0.009375615119934082,4,permutations,0.13,4
40,0.00821014642715454,4,combinations_with_rep,0.13,4
36,0.023481059074401855,3,product,0.05,4
24,0.023313679695129395,3,permutations,0.05,4
24,0.021664347648620606,3,combinations_with_rep,0.05,4
